# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
1.301600486040115356e-01,9.330887794494628906e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.264248490333557129e-01,9.464037418365478516e-01,1.026051974226779211e-05,3.915065948463745181e-06,9.000000000000000000e+01
1.250441670417785645e-01,9.581006765365600586e-01,1.015237790529787882e-05,4.020416724188265539e-06,9.000000000000000000e+01
1.254531294107437134e-01,9.680567979812622070e-01,1.017720645178331611e-05,4.251386533665185804e-06,9.000000000000000000e+01
1.270807385444641113e-01,9.762411117553710938e-01,1.025357457029456105e-05,4.339009586602044894e-06,9.000000000000000000e+01
1.294989883899688721e-01,9.827165603637695312e-01,1.029585114544200984e-05,4.558299972301750774e-06,9.000000000000000000e+01
1.324847489595413208e-01,9.876412153244018555e-01,1.040763647959636707e-05,4.853018969663483920e-06,9.000000000000000000e+01
1.359550654888153076e-01,9.911183118820190430e-01,1.060816619430825171e-05,5.246464566362054998e-06,9.000000000000000000e+01
1.399099528789520264e-01,9.933813810348510742e-01,1.072925126303110797e-05,5.321579448106367850e-06,9.000000000000000000e+01
1.442569494247436523e-01,9.946254491806030273e-01,1.093806544924106797e-05,5.606065149902095268e-06,9.000000000000000000e+01
1.488968133926391602e-01,9.951598644256591797e-01,1.104185692518500261e-05,5.946155777792788020e-06,9.000000000000000000e+01
