# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.990414335293105186e-01,1.188710693536067405e-02
-9.853945587300706466e-01,4.467647507177270605e-02
-9.402906572320967049e-01,9.165147663542637380e-02
-8.543165798890648421e-01,1.441465055298957743e-01
-7.286159844321575818e-01,1.972926466741445894e-01
-5.724118085615698126e-01,2.520070253185839326e-01
-4.004417723384928185e-01,3.118701528418963975e-01
-2.283189882508672719e-01,3.789865706314490823e-01
-6.840538444036087240e-02,4.524486982788404887e-01
7.158486981752042178e-02,5.295188025108641394e-01
1.877892783708139668e-01,6.070888710455782933e-01
2.788736983627679855e-01,6.823748900892874225e-01
3.450531267033272731e-01,7.531055754477621322e-01
3.875477159692483076e-01,8.175478217568891148e-01
4.083090905934813608e-01,8.744963346469446508e-01
4.098613117690567687e-01,9.232426681076389974e-01
3.951704242717609672e-01,9.635171918682808867e-01
3.675084057444812369e-01,9.954059974612260442e-01
3.303029017400533895e-01,1.019252508301243587e+00
2.869793179262912219e-01,1.035555012865281288e+00
2.408121973100560975e-01,1.044872666298885422e+00
1.948033664589103875e-01,1.047751742340931935e+00
1.515977352109246501e-01,1.044681133957252817e+00
1.134370628711504347e-01,1.036088802005056042e+00
8.213711996208634958e-02,1.022400680253548133e+00
5.905360113488521134e-02,1.004181114031194255e+00
4.498598219032723389e-02,9.823182658452371818e-01
3.999708973814371238e-02,9.581244100514437756e-01
4.323937589550722743e-02,9.332296300747613405e-01
5.297856729386735131e-02,9.093054577967606411e-01
