# x_gpmpc-horizon,y_gpmpc-horizon
3.427973947075515365e-02,9.870098047690053500e-01
3.491841984081778261e-02,9.877460625686578233e-01
3.547582484800544667e-02,9.877517475230486177e-01
3.582689082941910297e-02,9.872221911411973583e-01
3.594221855976839630e-02,9.863041264212875081e-01
3.587291398896390315e-02,9.851083479032916035e-01
3.570139441474483311e-02,9.837189849196994462e-01
3.550147365567100227e-02,9.822000450920369552e-01
3.531985435352495706e-02,9.806001839747298110e-01
3.517523492709185434e-02,9.789562757069163457e-01
3.506649797859869716e-02,9.772960987344958550e-01
