# x_linear-horizon,y_linear-horizon
-9.999999999999988898e-01,8.881784197001252323e-16
-9.995317781674707414e-01,-6.744036581538548347e-04
-9.929867374444087957e-01,-1.640494052883134657e-03
-9.699867428010122694e-01,-2.673233915306161279e-03
-9.239581950901165630e-01,-4.298013743936124342e-03
-8.549879173154688594e-01,-5.809680617549606296e-03
-7.667083967856084259e-01,-6.682840903694309276e-03
-6.635953805850081100e-01,-6.790559506676174806e-03
-5.501344903226115246e-01,-6.235476364065517529e-03
-4.302368858598920043e-01,-5.198117338002905541e-03
-3.063852064795289376e-01,-3.692778090299775329e-03
