# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.969614446330198332e-01,1.179796865200258803e-02
-9.653877307273294184e-01,3.079059523555951680e-02
-9.208952635607884352e-01,4.210778572728857139e-02
-8.600585688105445437e-01,3.817616961771799766e-02
-7.727945146917606367e-01,1.796029559316811297e-02
-6.599170132345221207e-01,-8.966138005072205042e-03
-5.304395480527948070e-01,-3.773754803539871444e-02
-4.220637443135807354e-01,-3.191484192028799100e-02
-3.248516107746241000e-01,-2.183643736920833425e-02
-2.501417467571213638e-01,-1.520502111862106001e-02
-1.897497316450226235e-01,-1.160757160358725192e-02
-1.542845759687850593e-01,-1.528303035543931293e-02
-1.206721626143929804e-01,-7.880708260518828889e-03
-1.130662440155647819e-01,-3.759255579721527702e-03
-9.106028937568126647e-02,-6.566637551556607846e-03
-6.754871342272340817e-02,-1.906430459879922268e-02
-5.824197109621855051e-02,-2.402924695222351248e-02
-6.543751056501237451e-02,-1.417298222228529844e-02
-5.526270359264299353e-02,-6.570472973013574171e-03
-3.971209159309916498e-02,-1.365915777607397755e-02
