# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.989651450513771236e-01,1.633060115498850134e-02
-9.855649516267538379e-01,6.201397030855659853e-02
-9.599264793783307548e-01,9.117819318751799185e-02
-9.311187066554564851e-01,1.020938208548852200e-01
-8.881783120878711246e-01,1.297647673441343630e-01
-8.364371397687709875e-01,1.558267939793318568e-01
-7.580497874256013624e-01,1.602434610619492827e-01
-6.524272590327916399e-01,1.469779496420845766e-01
-5.238666604043780151e-01,1.180276773963561954e-01
-3.747253460488463306e-01,7.359823287892920674e-02
-2.090923192577598677e-01,1.528848293917415765e-02
-3.580960637817743458e-02,-4.300546608557111183e-02
9.690019547013684065e-02,-2.855192887358779311e-02
2.100202890450500182e-01,6.283454004127511650e-03
3.024598753106845783e-01,2.328847515844146773e-02
3.770589715572061906e-01,3.094290948260884980e-02
4.186126050743204097e-01,6.698397148566334613e-02
4.358601588680621752e-01,8.526226781913510966e-02
4.325407513659682568e-01,9.155986001876556535e-02
4.019747733224213748e-01,1.167028182222636101e-01
