# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-1.000273226869699883e+00,-2.243092242100784214e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.433715833289957442e-01,-4.159433911486809347e-03,2.438850246763005103e+00,8.204272927376370095e-02,0.000000000000000000e+00
-2.065281891243741369e-02,-3.075186760934287954e-03,3.537047210151141319e-01,6.721661867861368489e-02,0.000000000000000000e+00
-2.975039013822850919e-03,-2.716757619941509785e-03,6.540463728489898099e-02,6.245713835240544048e-02,0.000000000000000000e+00
-4.142289792199192267e-04,1.180480884740671595e-03,4.600794866074887912e-02,4.200764510033357102e-02,9.000000000000000000e+01
-8.234636082485298849e-05,-2.028095711960968203e-03,5.451986241447535908e-02,4.147053756825037213e-02,9.000000000000000000e+01
-3.994148581301099749e-05,-2.963424190917782110e-03,6.575633859210759657e-02,4.145524314887925194e-02,9.000000000000000000e+01
6.733003531769230380e-06,-3.112645454568171554e-03,6.769097400627119288e-02,4.144934019682494641e-02,9.000000000000000000e+01
1.310977281005924369e-05,-9.880500824882790939e-04,4.488221630112772947e-02,4.142297136842013755e-02,9.000000000000000000e+01
1.298997641362871108e-05,1.930330328805782798e-03,5.285257152850506013e-02,4.141180895994712313e-02,9.000000000000000000e+01
-5.625683811299402281e-05,-1.724029393513898520e-03,5.136441466102399656e-02,4.145474532684920860e-02,9.000000000000000000e+01
