# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-1.000273226869699883e+00,-2.243092242100784214e-02
-1.003456480962097164e+00,-2.946318222659122243e-02
-1.002696520224128474e+00,-2.776841899601148467e-02
-9.994955271942776998e-01,-8.784190671858527893e-03
-9.784363350945304294e-01,8.571846567991693588e-02
-9.579296358665346789e-01,1.851894289496323620e-01
-1.016107926579302712e+00,2.320838399921899553e-01
-1.111599063217138639e+00,3.180581774952121465e-01
-1.107714688309341389e+00,3.515336336608066437e-01
-1.074391855579785782e+00,1.612263721749084000e-01
