# x_gpmpc-horizon,y_gpmpc-horizon
-1.000273226869699883e+00,-2.243092242100784214e-02
-1.433715833289957442e-01,-4.159433911486809347e-03
-2.065281891243741369e-02,-3.075186760934287954e-03
-2.975039013822850919e-03,-2.716757619941509785e-03
-4.142289792199192267e-04,1.180480884740671595e-03
-8.234636082485298849e-05,-2.028095711960968203e-03
-3.994148581301099749e-05,-2.963424190917782110e-03
6.733003531769230380e-06,-3.112645454568171554e-03
1.310977281005924369e-05,-9.880500824882790939e-04
1.298997641362871108e-05,1.930330328805782798e-03
-5.625683811299402281e-05,-1.724029393513898520e-03
