# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.998709315114800988e-01,1.812911279581661678e-02
-9.979638878125033363e-01,7.114508553054876838e-02
-9.910324605387780261e-01,1.588878777256863273e-01
-9.758200871275952704e-01,2.807612639988378844e-01
-9.517379157270425827e-01,4.124389175396802609e-01
-9.192832653145585065e-01,5.301011593572855229e-01
-8.778051492484321150e-01,6.302362680120494609e-01
-8.268478030456688499e-01,7.118962811253983780e-01
-7.664005100232466061e-01,7.742744999687479757e-01
-6.962536527381695262e-01,8.216774205985083457e-01
-6.165853581856833854e-01,8.588437405593094542e-01
-5.284221402850242111e-01,8.869340229786272234e-01
-4.332856104296985977e-01,9.068163936008386550e-01
-3.331655313096800186e-01,9.196808772217217598e-01
-2.302423472306866226e-01,9.321460969333082991e-01
-1.272521338478042607e-01,9.425753090126117728e-01
-2.708354498184170275e-02,9.478636714556534226e-01
6.717605706545370925e-02,9.550274276262825657e-01
1.523678236902393790e-01,9.680389224024663619e-01
2.258492191459471055e-01,9.851325420813360489e-01
2.861344246105573808e-01,1.000165748093348128e+00
3.315181903303459077e-01,1.012968881663497189e+00
3.608560192634328034e-01,1.023301961024001949e+00
3.737495064616043194e-01,1.029152075489959683e+00
3.697820358436820221e-01,1.031927101276202352e+00
3.493976145759957741e-01,1.031334206400517761e+00
3.134968971629422119e-01,1.027529040510044123e+00
2.634190879559770160e-01,1.021212469146357549e+00
2.015428339373978306e-01,1.008847233706441582e+00
1.294724487357125642e-01,9.981412998750164300e-01
