# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.999999999999996669e-01,6.328922829078399703e-02,1.630463721395919933e-15,6.793598839149667210e-17,0.000000000000000000e+00
-1.904789767336157347e+00,5.337536143021335278e-01,2.381328709795549892e-01,2.254593447844430165e-01,9.000000000000000000e+01
-2.842338100466916817e+00,2.886615937771198626e-01,5.364228124863084091e-01,5.220239313569128292e-01,9.000000000000000000e+01
-4.354790812980466441e+00,1.639095169407549513e-01,1.108498845869867022e+00,1.085859956485302202e+00,9.000000000000000000e+01
-6.780535716925819578e+00,1.107176206412445740e-01,2.249501596130841552e+00,2.212352367742366432e+00,9.000000000000000000e+01
-1.046680076012154359e+01,1.020649228989876783e-01,4.544868434775851007e+00,4.489759332398699065e+00,9.000000000000000000e+01
-1.585542690989637649e+01,1.335211267797257184e-01,9.171511734919256753e+00,9.112184506515333737e+00,9.000000000000000000e+01
-2.361308141455885590e+01,2.212059496902581968e-01,1.851443910776975699e+01,1.850064556206510247e+01,0.000000000000000000e+00
-3.513157564530631305e+01,4.100578197213094467e-01,3.767200101127431111e+01,3.731164887406622910e+01,0.000000000000000000e+00
-5.432409494678865514e+01,7.968442831636068924e-01,7.677043033297560726e+01,7.523779000910084847e+01,0.000000000000000000e+00
-9.334175022040896863e+01,1.578565226500194596e+00,1.566931575769868346e+02,1.516940611466337998e+02,0.000000000000000000e+00
