# x_gpmpc-horizon,y_gpmpc-horizon
-9.999999999999996669e-01,6.328922829078399703e-02
-1.904789767336157347e+00,5.337536143021335278e-01
-2.842338100466916817e+00,2.886615937771198626e-01
-4.354790812980466441e+00,1.639095169407549513e-01
-6.780535716925819578e+00,1.107176206412445740e-01
-1.046680076012154359e+01,1.020649228989876783e-01
-1.585542690989637649e+01,1.335211267797257184e-01
-2.361308141455885590e+01,2.212059496902581968e-01
-3.513157564530631305e+01,4.100578197213094467e-01
-5.432409494678865514e+01,7.968442831636068924e-01
-9.334175022040896863e+01,1.578565226500194596e+00
