# x_linear-horizon,y_linear-horizon
-9.990554868140479883e-01,2.441307026092243149e-02
-9.886022092597722688e-01,7.085388854935115166e-02
-9.572209515082040765e-01,1.164602509498867677e-01
-9.003781992329698003e-01,1.614692167496825093e-01
-8.205315359987236379e-01,2.066616033461554647e-01
-7.233633218557203870e-01,2.525163283891431742e-01
-6.152638379330328533e-01,2.991364919374319697e-01
-5.025884091926640096e-01,3.463446456314607236e-01
-3.907522721667125998e-01,3.939500786102256846e-01
-2.833133990176389672e-01,4.419813071799817417e-01
-1.820621101456008084e-01,4.788340194060430877e-01
