# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-9.985820714891271432e-01,1.933867619509778771e-02,4.895303872079852063e-03,4.895303872079852063e-03,0.000000000000000000e+00
-9.791273464069358834e-01,6.682991060485239665e-02,2.843190141229551965e-02,2.802612033385382811e-02,0.000000000000000000e+00
-9.229909221523391327e-01,1.288944636326641302e-01,4.547274941032815321e-02,4.261791684764968530e-02,0.000000000000000000e+00
-8.346373762664666129e-01,2.079232216122422761e-01,5.678214577352640180e-02,4.838080968908459872e-02,-1.111901840483218789e-13
-7.197470823079022972e-01,3.117317941384695201e-01,6.942998154311469383e-02,5.602194502850637442e-02,-2.412794145455916761e-13
-5.925699785170761569e-01,4.314929024614785336e-01,8.049180327390120793e-02,5.853769926394770257e-02,-1.753641384264754686e-13
-4.655346097615942758e-01,5.504305203131164559e-01,9.276294232267405515e-02,6.109232773776861886e-02,-1.009576976527772093e-13
-3.450587460909639304e-01,6.424999304483447471e-01,1.029315105826445198e-01,6.451784709960495245e-02,-4.496647338522984858e-14
-2.330442254331152041e-01,7.192348603874826329e-01,1.103125634942632161e-01,6.578398152887697525e-02,-3.179665266568520773e-14
-1.371982441286301591e-01,7.688770260000107326e-01,1.154901476010974926e-01,6.335141714508273070e-02,-1.321804974719309786e-13
-5.126257362106716176e-02,7.932699375906259176e-01,1.202128787990909414e-01,6.086460989824792750e-02,-5.161188796347461682e-13
