# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.985820714891271432e-01,1.933867619509778771e-02
-9.803854437464718519e-01,6.711243311220031760e-02
-9.283100807406872157e-01,1.314038568257645812e-01
-8.383247756742430168e-01,2.234441487920100222e-01
-7.206047036166786102e-01,3.448508328797088018e-01
-5.937692433506013279e-01,4.516591654800368172e-01
-4.702895964106986182e-01,5.531065139653957852e-01
-3.566524903951264758e-01,6.533447410280979195e-01
-2.560434704373957815e-01,7.376731421128333022e-01
-1.713075234180347628e-01,8.115909667917365899e-01
-1.019472278034982554e-01,8.681162085285026864e-01
-4.819991353065634920e-02,9.112829891059059939e-01
-8.248248076306247470e-03,9.393382823035933971e-01
1.937246745295765488e-02,9.564912443840775103e-01
3.582966655338692963e-02,9.701499856580474423e-01
4.371473506476821619e-02,9.798837531991406724e-01
4.538598810561814828e-02,9.864475384680135850e-01
4.285041157245098736e-02,9.907647741097170835e-01
3.773925645980938381e-02,9.935802464562362157e-01
3.132823302723634906e-02,9.954452752335470889e-01
2.457068829650064720e-02,9.967305495866167764e-01
1.813628936533688910e-02,9.976566791119096944e-01
1.245354632308735832e-02,9.983419141049385548e-01
7.754151342477558391e-03,9.988494283502724613e-01
4.116798497641973274e-03,9.992190769054718480e-01
1.508446761907770908e-03,9.994822415338051602e-01
-1.785646056059522204e-04,9.996662091028150066e-01
-1.094764835870295312e-03,9.997942724014394766e-01
-1.407934556530819918e-03,9.998849698857629198e-01
-1.283838623232871163e-03,9.999518328538595791e-01
-8.730066409498106516e-04,1.000003849414875079e+00
-3.028413028863075431e-04,1.000046396244649749e+00
3.259035021221803690e-04,1.000082325537919870e+00
9.393031914359821401e-04,1.000112954858543679e+00
1.488117396097412637e-03,1.000138827610654424e+00
1.944224576410252250e-03,1.000160211189146553e+00
2.296382645614808166e-03,1.000177366828481018e+00
2.545886628106302021e-03,1.000190654710043203e+00
2.702523078379509558e-03,1.000200539988248982e+00
2.781071690570170035e-03,1.000207553040069364e+00
2.798478500866897947e-03,1.000212239242018297e+00
2.771728416885175031e-03,1.000215115809651945e+00
2.716377800502604162e-03,1.000216644635645080e+00
2.645664862781781177e-03,1.000217220337885626e+00
2.570094272182845037e-03,1.000217162603069365e+00
2.497383670219622577e-03,1.000216723003569230e+00
2.432663411499093754e-03,1.000216094501770403e+00
2.378834536567031935e-03,1.000215413751872173e+00
2.337006228833506376e-03,1.000214770700305511e+00
2.306950222199848251e-03,1.000214220977389656e+00
