# x_gpmpc-horizon,y_gpmpc-horizon
-9.985820714891271432e-01,1.933867619509778771e-02
-9.791273464069358834e-01,6.682991060485239665e-02
-9.229909221523391327e-01,1.288944636326641302e-01
-8.346373762664666129e-01,2.079232216122422761e-01
-7.197470823079022972e-01,3.117317941384695201e-01
-5.925699785170761569e-01,4.314929024614785336e-01
-4.655346097615942758e-01,5.504305203131164559e-01
-3.450587460909639304e-01,6.424999304483447471e-01
-2.330442254331152041e-01,7.192348603874826329e-01
-1.371982441286301591e-01,7.688770260000107326e-01
-5.126257362106716176e-02,7.932699375906259176e-01
