# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.993871322638293586e-01,2.500951872154394059e-02
-9.935349860183685378e-01,6.269666562647306651e-02
-9.747451506809674537e-01,8.927147317988931574e-02
-9.317655531338975283e-01,1.338414501190713091e-01
-8.595298598591486483e-01,2.093114052892388610e-01
-7.611748402937777991e-01,3.063421489969561096e-01
-6.404485092978307037e-01,4.243017349328067622e-01
-5.072857790816687196e-01,5.288823111831648660e-01
-3.695585125763783396e-01,5.967313151419083583e-01
-2.310801520964615163e-01,6.631396016916425440e-01
-9.651031061538734024e-02,7.105400121001921310e-01
2.592965537917387570e-02,7.509706725232415669e-01
1.283726743459834563e-01,8.083650460820943628e-01
2.096484734160571628e-01,8.620185184014816926e-01
2.673633082584086496e-01,9.097117172492721338e-01
3.007073369470008584e-01,9.486099537647424418e-01
3.100441575865601762e-01,9.766726172752020485e-01
2.968336770617148179e-01,9.925829781907196114e-01
2.632655180317148291e-01,9.968821274332609894e-01
2.115344971078243208e-01,9.957388111436376033e-01
1.466550685491073147e-01,9.846517480521281840e-01
7.462249918770870460e-02,9.554984649845646993e-01
4.568822499852538861e-04,9.206411146649453592e-01
-6.904288373828071368e-02,8.965362886081137406e-01
-1.273349538075796705e-01,8.820845468231554021e-01
-1.695512373419186813e-01,8.737248246937361351e-01
-1.934486235015273337e-01,8.677823908559260113e-01
-1.976091963793372708e-01,8.688862923920843695e-01
-1.814140491527396482e-01,8.878458093024548248e-01
-1.498035233653845499e-01,9.090956439752209128e-01
