# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
-1.094764835870295312e-03,9.997942724014394766e-01,4.895303872079852063e-03,4.895303872079852063e-03,0.000000000000000000e+00
-1.311898047130777506e-03,9.998981440642445984e-01,2.718119749180815392e-02,2.707959671092923654e-02,9.000000000000000000e+01
-1.114082088656272607e-03,9.999195959139391965e-01,3.801004548034146030e-02,3.800324003100173653e-02,0.000000000000000000e+00
-7.002557636944518578e-04,9.999473696683376378e-01,4.651364001702301687e-02,4.268539416222306981e-02,0.000000000000000000e+00
-2.085697062400923964e-04,9.999776970616612859e-01,5.387826070294349234e-02,4.498007940009936256e-02,0.000000000000000000e+00
2.699067553014566738e-04,1.000011307646961223e+00,6.044539595799865855e-02,4.615522773168434512e-02,0.000000000000000000e+00
6.804647383257346254e-04,1.000049004869210778e+00,6.624502013304621462e-02,4.676872935071509779e-02,0.000000000000000000e+00
9.941084049032637530e-04,1.000092489225362868e+00,7.119914448185975242e-02,4.709194894215702754e-02,5.419234263700765027e-14
1.198066994160727067e-03,1.000144609743636614e+00,7.524018777127555735e-02,4.726294958555599113e-02,1.150935235005199209e-13
1.288052915298999604e-03,1.000208878680937774e+00,7.836697871787344505e-02,4.735353674460425488e-02,2.578996790792760833e-13
1.262845107048809557e-03,1.000104890949067071e+00,8.065296250234545161e-02,4.740419170793713083e-02,7.059077252581151544e-13
