# x_gpmpc-horizon,y_gpmpc-horizon
-1.094764835870295312e-03,9.997942724014394766e-01
-1.311898047130777506e-03,9.998981440642445984e-01
-1.114082088656272607e-03,9.999195959139391965e-01
-7.002557636944518578e-04,9.999473696683376378e-01
-2.085697062400923964e-04,9.999776970616612859e-01
2.699067553014566738e-04,1.000011307646961223e+00
6.804647383257346254e-04,1.000049004869210778e+00
9.941084049032637530e-04,1.000092489225362868e+00
1.198066994160727067e-03,1.000144609743636614e+00
1.288052915298999604e-03,1.000208878680937774e+00
1.262845107048809557e-03,1.000104890949067071e+00
