# pos_x,pos_y,major_axis_length,minor_axis_length,alpha
1.508446761907770908e-03,9.994822415338051602e-01,4.895303872079852063e-03,4.895303872079852063e-03,0.000000000000000000e+00
-4.178182000691792311e-05,9.996830441327700933e-01,2.718460101000010759e-02,2.708021434812633507e-02,9.000000000000000000e+01
-8.422294474051464624e-04,9.997698473028631128e-01,3.801054930217161870e-02,3.800697424569765559e-02,0.000000000000000000e+00
-1.114547287025736098e-03,9.998389394279459941e-01,4.651395643539326524e-02,4.268858927763565653e-02,0.000000000000000000e+00
-1.038402787242146373e-03,9.998946747247841049e-01,5.387874331318976556e-02,4.498259680868071930e-02,0.000000000000000000e+00
-7.529628592550877955e-04,9.999448832838043755e-01,6.044726111067656726e-02,4.615715173198673554e-02,0.000000000000000000e+00
-3.591170174627278757e-04,9.999944365802093671e-01,6.624945251981095851e-02,4.677020009617335189e-02,0.000000000000000000e+00
7.520842635289877530e-05,1.000047245848281863e+00,7.120644539382149640e-02,4.709308724290192649e-02,0.000000000000000000e+00
5.083638465376833339e-04,1.000107253243305960e+00,7.524958953873646383e-02,4.726383832102062227e-02,-9.919314449793567407e-14
9.177341083911412425e-04,1.000178290666162928e+00,7.837702854772468641e-02,4.735422837547929864e-02,-4.960086513791387393e-13
1.292921012711359353e-03,1.000080678834172510e+00,8.066211757986510578e-02,4.740470379097296016e-02,-1.968985910351991822e-12
