# x_gpmpc-horizon,y_gpmpc-horizon
1.508446761907770908e-03,9.994822415338051602e-01
-4.178182000691792311e-05,9.996830441327700933e-01
-8.422294474051464624e-04,9.997698473028631128e-01
-1.114547287025736098e-03,9.998389394279459941e-01
-1.038402787242146373e-03,9.998946747247841049e-01
-7.529628592550877955e-04,9.999448832838043755e-01
-3.591170174627278757e-04,9.999944365802093671e-01
7.520842635289877530e-05,1.000047245848281863e+00
5.083638465376833339e-04,1.000107253243305960e+00
9.177341083911412425e-04,1.000178290666162928e+00
1.292921012711359353e-03,1.000080678834172510e+00
