# x_gpmpc,y_gpmpc
-1.000000000000000000e+00,0.000000000000000000e+00
-9.999737861814981255e-01,2.603236175942690717e-02
-9.997333375058797822e-01,5.317723949949616780e-02
-9.984963686842601716e-01,4.729032779950089610e-02
-9.950678806526089826e-01,4.145429174444421883e-02
-9.867659422677734771e-01,5.728093455891162394e-02
-9.708668222424349237e-01,8.091912638813548997e-02
-9.491237496946939300e-01,1.013345967548910237e-01
-9.253043628453475611e-01,1.229249366078595113e-01
-9.028326409094048488e-01,1.425915492339923374e-01
-8.843781077251149370e-01,1.573192715061235425e-01
-8.723980617592468345e-01,1.662277650853318245e-01
-8.687544472224735248e-01,1.667968984604861482e-01
-8.744582788224166681e-01,1.585486034448186921e-01
-8.903470282778043199e-01,1.406352360755316611e-01
-9.166771445784864802e-01,1.125325607834770925e-01
-9.534280903988999745e-01,7.405885919954365015e-02
-1.000318969927707080e+00,2.540124093737749361e-02
-1.054966125528830068e+00,-1.919467771313355595e-02
-1.087549714733104356e+00,-2.221554480666781961e-02
-1.152693456152067863e+00,5.507531842245278614e-02
-1.286484486969487362e+00,1.583120566267480767e-01
-1.447684804793377911e+00,2.592763644761827968e-01
-1.659286935205852798e+00,2.896800746869573340e-01
-1.850758788997012738e+00,2.171031644078944556e-01
-2.083687023585521381e+00,5.482602797798681593e-02
-2.190749913087262524e+00,-4.579865438929067722e-02
-2.193341750255874079e+00,7.505325669589638093e-02
-2.075951942729879818e+00,2.736780912862551984e-01
-1.856092116035105821e+00,4.392365884794985909e-01
-1.598963599661581192e+00,5.026692277937986342e-01
-1.242287200660173507e+00,3.866145220062875976e-01
-7.866454946390074587e-01,-7.386710686496836265e-03
-6.100230716647321305e-01,-7.612088318877203996e-02
-5.945952586776683813e-01,-4.264173954658014021e-02
-5.945870344581948297e-01,-3.733647465148936390e-02
-5.945857423429431465e-01,-3.661906337326539806e-02
-5.945849191486545227e-01,-3.652207414213146097e-02
-5.945837759321110916e-01,-3.651131368035689939e-02
-5.945996447581854971e-01,-3.658011977025758810e-02
-5.945839162491700636e-01,-3.652424941112743934e-02
-5.945849505358369314e-01,-3.651167996186686221e-02
-5.945846623257202701e-01,-3.650979477289559294e-02
-5.945850789641011769e-01,-3.650992066572646827e-02
-5.945871449915165474e-01,-3.651008192608293235e-02
-5.945891303222793356e-01,-3.651010310112792756e-02
-5.945911045383676097e-01,-3.651010596799007107e-02
-5.945930771190929276e-01,-3.651010636067623244e-02
-5.945950493452175634e-01,-3.651010641899017639e-02
-5.945970213895873657e-01,-3.651010643210603895e-02
-5.945989932753299456e-01,-3.651010643910290732e-02
